TIME,STD,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:32:31,IST,all,15.37,0,4.79,7.3,0,1.26,0,0,0,71.28
10:32:32,IST,all,16.79,0,7.02,21.8,0,1,0,0,0,53.38
10:32:33,IST,all,16.26,0,7.39,3.69,0,1.23,0,0,0,71.43
10:32:34,IST,all,15.92,0,7.46,0,0,0.75,0,0,0,75.87
10:32:35,IST,all,16.75,0,6.25,0,0,1.5,0,0,0,75.5
10:32:36,IST,all,16.75,0,5.75,0.75,0,1.5,0,0,0,75.25
10:32:37,IST,all,16.21,0,5.24,0,0,1.5,0,0,0,77.06
10:32:38,IST,all,16.46,0,4.74,0,0,1.25,0,0,0,77.56
10:32:39,IST,all,16.13,0,4.96,0,0,2.48,0,0,0,76.43
10:32:40,IST,all,17.8,0,6.83,0,0,1.71,0,0,0,73.66
10:32:41,IST,all,16.54,0,5.09,0.76,0,1.27,0,0,0,76.34
10:32:42,IST,all,19.4,0,4.03,2.77,0,1.26,0,0,0,72.54
10:32:43,IST,all,17.75,0,5.25,0,0,1.5,0,0,0,75.5
10:32:44,IST,all,23.17,0,6.3,0,0,1.26,0,0,0,69.27
10:32:45,IST,all,39.09,0,9.9,0,0,0.51,0,0,0,50.51
10:32:46,IST,all,29.14,0,9.14,6.67,0,0.99,0,0,0,54.07
10:32:47,IST,all,27.5,0,8.5,0,0,0.25,0,0,0,63.75
10:32:48,IST,all,28.61,0,10.45,0,0,0.75,0,0,0,60.2
10:32:49,IST,all,37.78,0,8.06,0,0,1.01,0,0,0,53.15
10:32:50,IST,all,34,0,12.41,0,0,0.5,0,0,0,53.1
10:32:51,IST,all,29.34,0,9.05,0,0,1.22,0,0,0,60.39
10:32:52,IST,all,37.06,0,8.12,2.03,0,0.51,0,0,0,52.28
10:32:53,IST,all,25.69,0,8.82,0.76,0,1.26,0,0,0,63.48
10:32:54,IST,all,29,0,8.25,0,0,1,0,0,0,61.75
10:32:55,IST,all,32.14,0,8.93,0,0,0.77,0,0,0,58.16
10:32:56,IST,all,24.38,0,6.22,0,0,1.24,0,0,0,68.16
10:32:57,IST,all,18.61,0,6.45,0,0,0.99,0,0,0,73.95
10:32:58,IST,all,23.21,0,7.91,0.51,0,1.02,0,0,0,67.35
10:32:59,IST,all,20.4,0,5.79,0,0,1.26,0,0,0,72.54
10:33:00,IST,all,18.93,0,4.86,0,0,1.02,0,0,0,75.19
10:33:01,IST,all,16.16,0,5.3,0,0,1.52,0,0,0,77.02
10:33:02,IST,all,21.53,0,6.19,10.4,0,0.99,0,0,0,60.89
10:33:03,IST,all,19.7,0,5.49,18.45,0,1.5,0,0,0,54.86
10:33:04,IST,all,20,0,5.57,0,0,1.77,0,0,0,72.66
10:33:05,IST,all,19.5,0,5.75,0,0,1.75,0,0,0,73
10:33:06,IST,all,19.5,0,7,0,0,0.75,0,0,0,72.75
10:33:07,IST,all,17.04,0,6.67,0,0,1.73,0,0,0,74.57
10:33:08,IST,all,21.41,0,7.81,1.76,0,0.76,0,0,0,68.26
10:33:09,IST,all,21.43,0,4.43,1.48,0,2.22,0,0,0,70.44
10:33:10,IST,all,18,0,7.79,0,0,0.97,0,0,0,73.24
10:33:11,IST,all,15.79,0,5.26,0,0,1.5,0,0,0,77.44
10:33:12,IST,all,21.92,0,6.9,0.49,0,1.72,0,0,0,68.97
10:33:13,IST,all,17.21,0,5.49,0,0,1,0,0,0,76.31
10:33:14,IST,all,17.87,0,6.2,0,0,1.74,0,0,0,74.19
10:33:15,IST,all,18.2,0,5.24,0,0,2,0,0,0,74.56
10:33:16,IST,all,17.44,0,6.39,0,0,1.72,0,0,0,74.45
10:33:17,IST,all,19.11,0,5.96,0,0,1.74,0,0,0,73.2
10:33:18,IST,all,21.97,0,7.58,3.54,0,1.26,0,0,0,65.66
10:33:19,IST,all,18.56,0,4.95,0,0,1.49,0,0,0,75
10:33:20,IST,all,17.57,0,5.69,0,0,1.24,0,0,0,75.5
10:33:21,IST,all,17.94,0,5.16,0,0,1.72,0,0,0,75.18
10:33:22,IST,all,19.26,0,5.93,0.49,0,1.23,0,0,0,73.09
10:33:23,IST,all,17.62,0,6.45,0,0,0.99,0,0,0,74.94
10:33:24,IST,all,20.79,0,5.45,0,0,1.49,0,0,0,72.28
10:33:25,IST,all,26.18,0,7.98,1,0,1.25,0,0,0,63.59
10:33:26,IST,all,17.79,0,5.01,0,0,1.75,0,0,0,75.44
10:33:27,IST,all,19.95,0,6.23,3.24,0,1.25,0,0,0,69.33
10:33:28,IST,all,32,0,10.75,0,0,0.5,0,0,0,56.75
10:33:29,IST,all,21.23,0,6.67,0,0,1.23,0,0,0,70.86
10:33:30,IST,all,30.79,0,11.22,0.48,0,0.48,0,0,0,57.04
10:33:31,IST,all,19.65,0,5.72,0,0,1.74,0,0,0,72.89
10:33:32,IST,all,26.33,0,9.42,0.48,0,0.24,0,0,0,63.53
10:33:33,IST,all,20.3,0,6.93,8.17,0,1.98,0,0,0,62.62
10:33:34,IST,all,19.49,0,6.33,10.63,0,0.51,0,0,0,63.04
10:33:35,IST,all,20.8,0,6.52,24.81,0,1.5,0,0,0,46.37
10:33:36,IST,all,22.11,0,6.03,9.8,0,1.01,0,0,0,61.06
10:33:37,IST,all,17.79,0,6.02,5.76,0,2.26,0,0,0,68.17
10:33:38,IST,all,22.5,0,5.25,17.25,0,1.25,0,0,0,53.75
10:33:39,IST,all,21.13,0,7.37,4.91,0,1.23,0,0,0,65.36
10:33:40,IST,all,19.75,0,6.84,0,0,1.77,0,0,0,71.65
10:33:41,IST,all,18.45,0,5.24,0,0,1.25,0,0,0,75.06
10:33:42,IST,all,19.07,0,6.6,8.56,0,1.47,0,0,0,64.3
10:33:43,IST,all,20.78,0,7.09,11.49,0,1.22,0,0,0,59.41
10:33:44,IST,all,18.39,0,6.55,18.64,0,0.5,0,0,0,55.92
